Year,country,iso_code,population,gdp,energy_per_capita,Temperature anomaly,co2,co2_per_capita,co2_including_luc,land_use_change_co2,coal_co2,oil_co2,gas_co2,share_global_co2,temperature_change_from_co2,Continent
1980,Afghanistan,AFG,13169313.0,15329836000.0,481.2086181640625,-0.05971648,1.756301999092102,0.1333632171154022,4.33982515335083,2.5835230350494385,0.3157620131969452,0.9252560138702391,0.1872539967298507,0.0090485354885458,0.0004667218599934,Asia
1981,Afghanistan,AFG,11937586.0,15645344000.0,610.6389770507812,-0.32745823,1.978463053703308,0.1657339334487915,4.6771087646484375,2.698646068572998,0.3334240019321441,1.0149279832839966,0.3041119873523712,0.0104792825877666,0.0004695213283412,Asia
1982,Afghanistan,AFG,10991380.0,15980410000.0,717.7664184570312,-1.7180811,2.094580888748169,0.1905657798051834,4.267552852630615,2.1729719638824463,0.3847199976444244,0.9929440021514891,0.3957119882106781,0.0111831799149513,0.0004722027515526,Asia
1983,Afghanistan,AFG,10917985.0,16755333000.0,905.1266479492188,-0.78083587,2.519953966140747,0.2308076024055481,4.644854068756104,2.1249003410339355,0.3847199976444244,1.2201119661331177,0.6155520081520081,0.0133318360894918,0.0004750090301968,Asia
1984,Afghanistan,AFG,11190222.0,17072153000.0,887.3709716796875,-0.8863928,2.821539878845215,0.2521433532238006,4.676733016967773,1.8551931381225584,0.3925560116767883,1.1336439847946167,0.931863009929657,0.0145012270659208,0.0004778217116836,Asia
1985,Afghanistan,AFG,11426855.0,17108480000.0,842.73095703125,-0.29862496,3.5014219284057617,0.3064204454421997,5.075586318969727,1.5741643905639648,0.3997940123081207,1.5478249788284302,1.192046046257019,0.017381215468049,0.000480822782265,Asia
1986,Afghanistan,AFG,11420074.0,17641344000.0,875.0003051757812,-1.2253584,3.1336450576782227,0.2743979692459106,4.40615177154541,1.2725070714950562,0.425024002790451,1.1395039558410645,1.2017920017242432,0.0153324119746685,0.0004835343570448,Asia
1987,Afghanistan,AFG,11387822.0,15810816000.0,1486.6866455078125,0.099336185,3.113826036453247,0.2734347283840179,4.13780403137207,1.0239781141281128,0.4428240060806274,2.0128378868103027,0.3915880024433136,0.0147531405091285,0.0004861369088757,Asia
1988,Afghanistan,AFG,11523299.0,14499069000.0,2697.882080078125,0.38467804,2.856895923614502,0.2479234486818313,3.866218090057373,1.0093220472335815,0.3664000034332275,1.8210079669952397,0.4396800100803375,0.0130340242758393,0.0004886017413809,Asia
1989,Afghanistan,AFG,11874089.0,13489497000.0,2569.341796875,-1.6396775,2.764854907989502,0.2328477650880813,3.688476085662842,0.9236211180686952,0.3370879888534546,1.8649760484695437,0.4799839854240417,0.0124541819095611,0.0004909525159746,Asia
1990,Afghanistan,AFG,12045664.0,13065984000.0,2506.86669921875,-0.3070902,2.0243260860443115,0.1680543422698974,2.1967904567718506,0.1724644899368286,0.2784639894962311,1.271407961845398,0.4030399918556213,0.0089051257818937,0.0004928034031763,Asia
1991,Afghanistan,AFG,12238879.0,12047361847.0,1021.0751953125,-1.3175774,1.9143010377883911,0.1564114689826965,1.939509391784668,0.025208318606019,0.2496269941329956,1.2040849924087524,0.3891249895095825,0.0082493089139461,0.000494577223435,Asia
1992,Afghanistan,AFG,13278983.0,12677539626.0,618.0552978515625,-1.5428457,1.4820539951324463,0.1116089969873428,-0.1786173731088638,-1.660671353340149,0.0219839997589588,1.0295840501785278,0.3627359867095947,0.0065809329971671,0.0004953639581799,Asia
1993,Afghanistan,AFG,14943175.0,9834582315.0,545.7575073242188,-1.0193323,1.486943006515503,0.0995064973831176,-2.583944320678711,-4.070887088775635,0.0183199997991323,1.0479040145874023,0.351743996143341,0.0065360502339899,0.0004956015618517,Asia
1994,Afghanistan,AFG,16250800.0,7919856426.0,484.3460998535156,-0.68389416,1.453829050064087,0.0894619971513748,-1.964682936668396,-3.4185121059417725,0.0146930003538727,1.0321710109710691,0.3379350006580353,0.0063279843889176,0.0004960140795446,Asia
1995,Afghanistan,AFG,17065837.0,12307525468.0,386.4902038574219,-0.80478305,1.417327046394348,0.0830505415797233,-0.971491277217865,-2.3888182640075684,0.0146559998393058,1.0112639665603638,0.3224320113658905,0.0060269115492701,0.0004967006389051,Asia
1996,Afghanistan,AFG,17763266.0,12070125316.0,368.8991088867188,-1.0373837,1.37010395526886,0.0771313086152076,1.4965486526489258,0.1264446526765823,0.0073279999196529,0.9856159687042236,0.307776004076004,0.0056537659838795,0.0004981083911843,Asia
1997,Afghanistan,AFG,18452100.0,11850752863.0,341.2183837890625,-0.9220831,1.304152011871338,0.0706776976585388,5.174801349639893,3.870649576187134,0.0036639999598264,0.9489759802818298,0.2821280062198639,0.0053491992875933,0.0005004803533665,Asia
1998,Afghanistan,AFG,19159996.0,11692171422.0,321.2784423828125,0.11704131,1.2785040140151978,0.0667277798056602,1.0733566284179688,-0.2051473557949066,0.0036639999598264,0.941648006439209,0.263808012008667,0.0052622617222368,0.0005018495721742,Asia
1999,Afghanistan,AFG,19887792.0,11517315926.0,309.21441650390625,0.03511409,1.0916399955749512,0.0548899546265602,1.9425307512283323,0.8508906960487366,0.0036639999598264,0.7767679691314697,0.2418240010738372,0.0043950802646577,0.0005034543573856,Asia
2000,Afghanistan,AFG,20130334.0,11283794151.0,262.68048095703125,0.056163114,1.0471279621124268,0.0520174168050289,1.1123837232589722,0.0652558431029319,0.0036639999598264,0.7877600193023682,0.2235040068626403,0.0041045355610549,0.0005048336461186,Asia
